Question Stem,Correct1,Incorrect1,Incorrect 2,Incorrect 3,Category1,Category2,Category3,Category4,,
"A patient demonstrating multiple irregularly shaped oral ulcerations and concentric erythematous ""bull's-eye"" type skin lesions is most consistent with what condition?",Erythema multiforme,Pemphigus vulgaris,Cicatricial pemphigoid,Reiter syndrome,Dermatologic,,,,,
The histopathologic features of erythema migrans (geographic tongue) are reminiscent of what dermatologic condition?,Psoriasis,Lupus erythematosus,Pemphigus vulgaris,Seborrheic keratosis,Dermatologic,,,,,
"A relatively uncommon immunologically mediated condition particularly prevalent in young adult men demonstrating non-gonococcal urethritis, arthritis, and conjunctivitis best describes what condition?",Reiter syndrome (reactive arthritis),Paraneoplastic pemphigus,Graft-versus-Host disease,Psoriasis,Dermatologic,,,,,
"What relatively common immunologically-mediated mucocutaneous disorder is classically characterized as having a fine, lacelike network of white lines known as Wickham striae?",Lichen planus,Cicatricial pemphigoid,Pemphigus vulgaris,Geographic tongue,Dermatologic,,,,,
"In graft-versus-host disease, the engrafted hematopoietic cells are attacked by the recipient's own immune disease.",FALSE,TRUE,,,Dermatologic,,,,,
"Well-demarcated, erythematous plaques with silvery keratotic scales located bilaterally on the elbows of a young-middle aged adult most likely suggests which of the following",Psoriasis,Paraneoplastic pemphigus,Graft-versus-Host disease,Lupus erythematosus,Dermatologic,,,,,
"Scaly, erythematous ""butterfly"" patches located in the malar regions of young adult women most likely represents what condition?",Lupus erythematosus,Erosive lichen planus,Systemic sclerosis,Bullous pemphigoid,Dermatologic,,,,,
What is the most significant aspect of systemic lupus erythematosus?,Renal involvement,Cutaneous involvement,Cardiac involvement,Oral involvement,Dermatologic,,,,,
"Stiffened skin texture, Raynaud phenomenon and diffuse widening of the periodontal ligament space is most consistent with what diagnosis?",Systemic sclerosis,Systemic lupus erythematous,Psoriasis,Bullous pemphigoid,Dermatologic,,,,,
A diagnosis of acanthosis nigricans should prompt what suspicion?,Gastrointestinal malignancy,Benign thyroid tumor,Thyroid cancer ,Benign breast tumor,Dermatologic,,,,,
The most common location for an oral melanotic macule is on the ,Lower lip,Palate,Buccal mucosa,Gingiva ,Dermatologic,Pigmented ,,,,
The key histologic feature of an oral melanoacanthoma are ,Intraepithelial dendritic melanocytes,Melanocytes along the basal cell layer,Atypical melanocytes scattered in the epithelial layer,Melanocytes scattered within the connective tissue layer ,Dermatologic,Pigmented ,,,,
The earliest manifestation of an epidermal pigmented nevus is termed a/an __________ nevus. ,Junctional ,Intradermal ,Compound,Intramucosal,Dermatologic,,,,,
The decreased frequency of aphthous ulcers of the oral mucosa in some persons can be linked to ,Smoking,A bolstered immune system,Lack of an initial herpes simplex virus infection,Relative ration of B to T lymphocytes ,Dermatologic,Allergies/Immunologic,,,,
Which type of recurrent aphthous lesions heals with scarring?,Major,Minor,Herpetiform,,Dermatologic,Allergies/Immunologic,,,,
Multiple papillary lesions of the oral mucosa may be seen in some dermatologic disorders.,TRUE,FALSE,,,Dermatologic,,,,,
"Melanoma is the third most common skin cancer, but most likely one to cause death. ",TRUE,FALSE,,,Dermatologic,Pigmented ,,,,
All are true of oral melanoma EXCEPT,All cases are preceeded by a melanotic macule,Treatment is radical surgery,Prognosis is extremely poor,Usually die from distant metastasis ,Dermatologic,Pigmented ,,,,
Whcich of the following is TRUE regardign the treatment and prognosis for cutaneous melanoma?,Surgical excision can be curative,Radiation therapy is of great value,The most important prognostic indicator is the histologic spread laterally,"Poor prognosis for stage I lesions, close to 10% 10 year survival",Dermatologic,Pigmented ,,,,
Acral lentiginous melanoma is the most common form of melanoma in light skinned adults. ,FALSE,TRUE,,,Dermatologic,Pigmented ,,,,
"Oral melanoma is rare in the United States, representing <1% of melanomas. ",TRUE,FALSE,,,Dermatologic,Pigmented ,,,,
Melanoma may arise de novo.,TRUE,FALSE,,,Dermatologic,Pigmented ,,,,
Microscopic features of mucosal lentiginous melanomas include all EXCEPT,"Atypical fibroblasts, singly and in nests",Initially at the epithelial/connective tissue junction,"Spread laterally, radial growth phase",Spread through the thickness of the epithelium,Dermatologic,Pigmented ,,,,
A Hutchinson’s freckle represents a melanoma in situ.,FALSE,TRUE,,,Dermatologic,Pigmented ,,,,
Appearance of radial growth makes a lentigo maligna into a lentigo maligna melanoma.,FALSE,TRUE,,,Dermatologic,Pigmented ,,,,
A 55 year-old male presents with darkened lesion on maxillary alveolus. Radiographs show “moth-eaten” bone destruction. Microscopically pagetoid growth is seen. The diagnosis is ,Mucosal lentiginous melanoma,Lentigo maligna melanoma,Nasopharyngeal carcinoma,Basal cell carcinoma,Dermatologic,Pigmented ,,,,
What is the most common type of skin cancer?,Basal cell carcinoma,Squamous cell carcinoma,Merkel cell carcinoma,Melanoma,Dermatologic,,,,,
What is the most deadly type of skin cancer?,Melanoma ,Squamous cell carcinoma,Basal cell carcinoma,Merkel cell carcinoma,Dermatologic,Pigmented ,,,,
A diffuse sloughing and ulceration of the entire skin and mucosal surfaces is characteristic of,Toxic epidermal necrolysis,Erosive lichen planus,Desquamative gingivitis,Pyodermatitis vegetans,Dermatologic,vesiculobullous,,,,
Early childhood development of periorificial freckles that DON’T wax or wane with sun exposure is consistent with ,Peutz-Jeghers syndrome,Chloasma,Solar lentigo,Lentigo maligna,Dermatologic,Syndromes,,,,
An autoimmune vesiculo-bullous disease associated with Eastern European Jewish ancestry is ,Pemphigus,Pemphigoid,Epidermolysis,Erythema multiforme,Dermatologic,Vesiculobullous,,,,
"A male patient is noted to have sparse thin hair, oligodontia, and heat intolerance. Your clinical impression is ",Ectodermal dysplasia,Cannon’s disease,Howitzer’s triad,HBID,Dermatologic,Syndromes,,,,
"Skin atrophy, marked tendency to sunburn, and development of non-melanoma skin cancer in the first decade of life are features of ",Xeroderma pigmentosum,Pachyonychia congenita,Gorlin syndrome,Warty dyskeratoma,Dermatologic,Syndromes,,,,
A patient with frequent nosebleeds (epistaxis) has scattered red papules on the oral mucosa and the skin of the hands. Your clinical impression is ,Hereditary hemorrhagic telangiectasia,Peutz-Jeghers syndrome,Darier disease,Pachyonychia congenita,Dermatologic,,,,,
"Hyper-extensible skin, hypermobile joints, and periodontal disease are features of ",Ehlers-Danlos syndrome,Cowden syndrome,Tuberous sclerosis,Osler-Weber-Rendu syndrome,Dermatologic,Syndromes,,,,
"During the latent phase, the herpes simplex virus resides in ",Gasser nerve ganglion,Epithelial cells ,Fibroblasts,T-lymphocytes,Dermatologic,,,,,
A common skin mass of older people that is related to chronic sun exposure and has a “stuck-on” appearance is ,Seborrheic keratosis,Actinic lentigenes,Ephelides ,Melasma,Dermatologic,,,,,
"Skin atrophy, ease of sunburn, freckling, and patchy pigmentation precede early progression to cutaneous malignancy, such as squamous cell carcinoma, in ",Xeroderma pigmentation,Pachyonychia congenita,Swirled hair cowlickia,Darier’s disease,Dermatologic,,,,,
"Sparse to absent eyebrows and lashes, oligodontia, and heat intolerance are features of ",Ectodermal dysplasia,White sponge nevus,Hereditary benign intra-epithelial dyskeratosis,Charcot-Marie-Tooth disease,Dermatologic,Syndromes,,,,
White corrugated oral mucosa that results form an autosomal dominant defect in keratinization describes ,White sponge nevus,Charcot-Marie-Tooth disease,White sponge nevus,Hereditary benign intra-epithelial dyskeratosis,Dermatologic,,,,,
White corrugated plaques of buccal mucosa and gelatinous eye plaques that worsen in the spring are characteristic of ,Hereditary benign intra-epithelial dyskeratosis,White sponge nevus,Charcot-Marie-Tooth disease,White sponge nevus,Dermatologic,,,,,
"Hemorrhagic bullae, scarring, and erosion of the skin due to minimal trauma that results form defects in type VII collagen are seen in ",Epidermolysis bullosa,Angina bullosa hemorrhagica,Erythema multiforme,Stevens-Johnson syndrome,Dermatologic,,,,,
"An autoimmune disease with erosions, ulceration, vesicle and bullae formation is noted to have subepithelial separation on histopathology. Your diagnosis is ",Pemphigold,Pemphigus,Lichen planus,Erythema multiforme,Dermatologic,Vesiculobullous,,,,
Red macules and papules noted in a patient with frequent nose bleeds are features of ,Hereditary hemorrhagic telangiectasia,Peutz-Jegher’s syndrome ,Ehlers-Danlos syndrome,Marfan syndrome,Dermatologic,,,,,
Freckle-like pigmentation periorally and gastro-intestinal polyps are features of,Peutz-Jegher syndrome,Osler-Weber-Rendu syndrome,Ehlers-Danlos syndrome,Tuberous sclerosis,Dermatologic,Syndromes,,,,
A large brown macule in older Caucasoids that is due to chronic ultraviolet exposure describes, Actinic lentigo,Ephelides,Melasma,Senile purpura,Dermatologic,,,,,
Increased facial pigmentation resulting from pregnancy and oral contraceptive use is termed,Melasma,The mask of Zorro,Lentigo simplex,Lentigo complex,Dermatologic,,,,,
All of the following conditions are characterized by dyskeratosis EXCEPT which of the following?,Multiple hamartoma syndrome (Cowden’s syndrome),White sponge nevus,Darier disease,Dyskeratosis congenita ,Dermatologic,,,,,
Which of the following conditions are you most likely to see on a routine basis in your dental practice?,Erythema migrans (geographic tongue),Systemic sclerosis,Intraoral manifestations of psoriasis,Hereditary benign intraepithelial dyskeratosis ,Dermatologic,,,,,
An increased risk of cancer is a significant concern for patients with __________. ,Dyskeratosis congenita,White sponge nevus,Darier disease,Hereditary hemorrhagic telangiectasia,Dermatologic,,,,,
Antibiotic prophylaxis prior to dental treatment may be needed for patients with which of the following conditions?,Hereditary hemorrhagic telangiectasia,Ectodermal dysplasia,Multiple hamartoma syndrome (Cowden’s syndrome),CREST syndrome,Dermatologic,,,,,
What is the most common intraoral site for melanoma?,Alveolar ridge,Labial mucosa,Lateral border of the tongue,Buccal mucosa near the commissure,Dermatologic,Pigmented ,,,,
All of the following lesions/conditions are histologically similar to physiologic (racial) pigment EXCEPT which of the following?,Acquired melanocytic nevus,Oral melanocytic macule,Smoker’s melanosis,Antimalarial drug hyperpigmentation,Dermatologic,Chemical/Physical Injury,Pigmented ,,,
Which of the following differentiates pemphigus from pemphigoid?,"Histologically, pemphigus shows intraepithelial separation; pemphigoid show epithelial separation from the lamina propria. ",Pemphigus is an autoimmune disease; pemphigoid only occurs secondary to viral infection. ,Pemphigus produces a positive Nickolsky sign. ,Pemphigus primarily affects children; pemphigoid tends to affect older adults. ,Dermatologic,Vesiculobullous,,,,
All of the following are included in the “4 P’s” of Lichen planus except,Painful,Pruritic,Polygonal,Papules ,Dermatologic,,,,,
Which of the following inherited dermatological disorders is characterized by thick oral plaques along with ocular lesions?,Hereditary Benign Intraepithelial Dyskeratosis (HBID) ,White Sponge Nevus,Dyskeratosis Congenita,Darier Disease (Keratosis Follicularis),Dermatologic,,,,,
Which of the following diseases may improve with sun exposure? ,Psoriasis,Xeroderma pigmentosum ,Darier disease (Keratosis Follicularis) ,Lupus erythematosus ,Dermatologic,,,,,
Ashleaf spots and shagreen patches are cutaneous lesions associated with ,Tuberous Sclerosis ,Ectodermal dysplasia ,Hereditary Hemorrhagic Telangiectasia ,Reiter syndrome ,Dermatologic,,,,,
"A patient comes in with numerous, small red lesions on his lips, tongue and buccal mucosa which blanch with diascopy. He also reports having frequent epistaxis.  What disease(s) should you suspect?",Hereditary hemorrhagic telangiectasia,Hemophilia A,von Willebrand disease,Thrombocytopenia,Dermatologic,,,,,
What intraoral finding are you MOST likely to see in a patient with Cowden syndrome?,Multiple pink papules creating a cobblestone pattern,Telangiectasias,Trichilemmomas,Bilateral white plaques of the buccal mucosa,Dermatologic,,,,,
Which of the following is NOT a clinical finding expected in a patient with ectodermal dysplasia?,Desquamative gingivitis,Hypodontia,Cone-shaped teeth,Xerostomia,Dermatologic,Syndromes,,,,
Diffuse widening of the periodontal ligament space is often seen in patients with,Systemic sclerosis (scleroderma),Tuberous sclerosis,Systemic lupus erythematosus,Ectodermal dysplasia,Dermatologic,,,,,
Why do some patients with hereditary hemorrhagic telangiectasia (HHT) need antibiotic prophylaxis prior to dental treatment?,Because of the increased risk of a brain abscess,To prevent the development of a pulmonary abscess,Due to the increased risk of intraoral infection,Patients with HHT do not need antibiotic prophylaxis prior to dental treatment,Dermatologic,,,,,
Which of the following intraoral pigmented lesions exhibits rapid growth and is seen predominantly in African-Americans?,Melanoacanthoma,Oral melanotic macule,Blue Nevus,Acquired Nevus,Dermatologic,Pigmented ,,,,
Which of the following lesions is associated with an increase in the number of melanocytes?,Actinic lentigo,Smoker’s melanosis,Oral melanotic macule,Racial pigmentation,Dermatologic,Pigmented ,,,,
All of the following findings are characteristic of tuberous sclerosis EXCEPT one. Which one is the EXCEPTION?,Increased risk of malignant peripheral nerve sheath tumors,Multiple angiofibromas of the face,"Gingival overgrowth, which may or may not be related to phenytoin use ",Cardiac rhabdomyoma and renal angiomyolipoma,Dermatologic,Syndromes,,,,
A mutation resulting in a defective calcium channel pump is associated with which of the following conditions?,Darier disease,White sponge nevus,Ectodermal dysplasia,Cowden syndrome ,Dermatologic,,,,,
A significantly increased risk of oral squamous cell carcinoma is seen in patients with ,Xeroderma pigmentosum ,Multiple hamartoma syndrome,Tuberous sclerosis,Systemic sclerosis,Dermatologic,Epithelial Pathology,,,,
Which of the following pairs of lesions would have an identical microscopic presentation?,Physiologic pigmentation and melanotic macule ,Nevus and melanoacanthoma,Melanoacanthoma and physiologic pigmentation,Nevus and melanotic macule,Dermatologic,Pigmented ,,,,
What is the most common intraoral site for melanoma?,Maxillary alveolar ridge,Buccal mucosa,Lateral border of the tongue,Lower lip,Dermatologic,Pigmented ,,,,
Which of the following differentiates pemphigus from pemphigoid?,"Histologically, pemphigus shows intraepithelial separation; pemphigoid show epithelial separation from the lamina propria  ",Pemphigus is an autoimmune disease; pemphigoid only occurs secondary to viral infection  ,Pemphigus produces a positive Nickolsky sign  ,Pemphigus primarily affects children; pemphigoid tends to affect older adults  ,Dermatologic,Vesiculobullous,,,,
"Regarding acquiring melanoma, total sun exposure over a lifetime is more important than number and quality of acute damage. ",FALSE,TRUE,,,Dermatologic,Pigmented ,,,,
The interscapular area of males and the back of the legs of females are areas of concern for the formation of __________ melanoma. ,Superficial spreading,Nodular,Lentigo maligna,Acral lentiginous ,Dermatologic,Pigmented ,,,,
The most important factor for determination of treatment and prognosis of melanoma is ,Depth of invasion (Breslow thickness,Type of melanoma,Size of lesion,Involvement of local structures ,Dermatologic,Pigmented ,,,,
The most important aspect of a congenital melanocytic nevus is,Their potential for malignant transformation,Potential for widespread growth,Their disfiguring characteristics,A propensity to spread to adjacent structures,Dermatologic,Pigmented ,,,,
"Risk factors of developing this disease are sun exposure, light complexion, family history, and dysplastic nevus syndrome. ",Melanoma,Nasopharyngeal carcinoma,Verrucous carcinoma,Mucosal lentiginous melanoma,Dermatologic,Pigmented ,,,,
What subtype of melanoma is most commonly seen intraorally?,Acral lentiginous,Superficial spreading,Lentigo maligna,Nodular,Dermatologic,Pigmented ,,,,
What is the favored treatment approach for a melanotic macule of the lower lip that has been present for 5 years and is not enlarging in a patient with a  recent history of MI?,No treatment is necessary at this time (observation only) ,Perform an incisional biopsy to rule out melanoma,An excisional biopsy is indicated given the high risk site,Laser obliteration is the treatment of choice for all pigmented skin lesions ,Dermatologic,Pigmented ,,,,
A midline neck swelling that elevates on swallowing or protrusion of the tongue is most likely a/an,Thyroglossal duct cyst,Hyoid cyst,Laryngocele,Brachial cleft cyst,Developmental ,,,,,
"Fissured tongue, lip enlargement, and facial paralysis are features of ",Melkersson-Rosenthal syndrome,Bell palsy,Cheilitis granulomatosa,Miescher cheilitis,Developmental ,Syndromes,,,,
The most common non-odontogenic cyst of the oral cavity that occurs in the midline of the anterior maxilla is the ,Nasopalatine duct cyst,Nasolabial cyst,Globulomaxillary cyst,Dentigerous cyst,Developmental ,,,,,
Epstein pearls and Bohn nodules are ,Palatal cysts of the newborn,Fissural cysts,Gingival cysts of the adult,Bits of wisdom,Developmental ,,,,,
Midline cysts arising along the line of fusion of the palatal shelves include ,Median palatal cysts,Nasolabial cysts,Globulomaxillary cysts,All of the above,Developmental ,,,,,
A cyst associated with oral lymphoid tissue is a/an,Oral lymphoepithelial cyst,Lymphonodular pharyngitis,Epidermoid cyst,Thyroglossal tract cyst,Developmental ,Salivary,,,,
"A male patient who has relocated from North Carolina has oral mucosal lesions resembling white sponge nevus. Additionally, he complains of tearing and a ""jelly-like"" substance in his eyes in the spring of the year. Your clinical suspicion is ",Hereditary benign intraepithelial dyskeratosis (HBID),"Howitzer disease (18,12 O)",Gorlin syndrome (NBCCS),Orofaciodigital syndrome (ODS),Developmental ,,,Dermatologic,,
Tongue-tie is also called,Ankyloglossia,Aglossia,Microglossia,Glossodynia,Developmental ,,,,,
A pearly grey or white appearance in the buccal mucosa that disappears on stretching is referred to as ,Leukoedema,Leukoplakia,Leukodystrophy,Migratory mucositis,Developmental ,,,,,
Bifid uvula is a minimal manifestation of cleft palate,TRUE,FALSE,,,Developmental ,,,,,
Fordyce granules are ,Ectopic sebaceous glands,Epidermal inclusion cysts,Ectopic apocrine glands,Ectopic holocrine glands,Developmental ,,,,,
"A patient with a ""tower skull"", also has syndactyly. What is the condition?",Apert syndrome,Crouzon syndrome,Treacher Collins syndrome,Eagle syndrome,Developmental ,Syndromes,,,,
The clinical features of an enlargement of the upper lip and displacement of the ala of the nose is most likely due to a/an,Nasolabial cyst,Globulomaxillary cyst,Adenomatoid odontogenic tumor,Mucocele,Developmental ,,,,,
The most common non-odontogenic cyst of the oral cavity is the __________ cyst. ,Nasopalatine duct,Globulomaxillary ,Periapical ,Periradicular,Developmental ,,,,,
A nasopalatine duct cyst is lined by a singular type of epithelial lining. ,FALSE,TRUE,,,Developmental ,,,,,
Epidermoid (infundibular) cysts of the skin are a component of which syndrome?,Gardner syndrome,Goltz,Gorlin,Guillain-Barre,Developmental ,Syndromes,,,,
A common clinical presentation of a dermoid cyst consists of a,Floor of mouth swelling that displaces the tongue upward,Nodular mass of the skin of the cheek,Periradicular radiolucency of a posterior mandibular molar,Pericoronal radiolucency of a posterior mandibular molar,Developmental ,,,,,
A thyroglossal duct cyst can be clinically identified by which of the following conditions?,Vertical movement during swallowing,Posterior tongue placement,Floor of mouth swelling,Hoarse voice exhibited by the patient,Developmental ,,,,,
Hemihyperplasia is a congenitally appearing condition that affects only certain tissues of the affected side.,FALSE,TRUE,,,Developmental ,,,,,
A patient diagnosed with hemihyperplasia should also be evaluated for the presence of all of the following EXCEPT,Hepatocellular carcinoma,Wilms tumor,Hepatoblastoma,Adrenal cortical carcinoma,Developmental ,,,,,
The notable feature en coup de sabre seen in progressive hemifacial atrophy most closely resembles an element of which disease process?,Localized scleroderma,Hemifacial atrophy,Raynaud phenomenon,Epidermolysis bullosa,Developmental ,,,,,
"Which of the following is identified by atrophy of the skin and tissues of a portion of the face, and often exhibits dark pigmentation of the skin in the area of atrophy?",Progressive hemifacial atrophy,Hemifacial hyperplasia,Mccune-Albright Syndrome,Neurofibromatosis,Developmental ,,,,,
The cranial features seen in craniofacial dysostosis are due to ,Premature closure of cranial sutures,Delayed closure of cranial sutures,A gene deletion,A gene addition,Developmental ,,,,,
The most severe cases of Apert Syndrome show a deformity consisting of,"""cloverleaf"" skull","""beaten metal"" radiographic  pattern",Brachycephaly,Scaphocephaly,Developmental ,Syndromes,,,,
The most prominent feature of Apert Syndrome that is used to distinguish it from other syndromes involving the cranium is ,Synostosis of the hands and feet,Increased intracranial pressure,"""tower skull"" ","""open mouth"" appearance",Developmental ,Syndromes,,,,
"As seen in mandibulofacial dysostosis, a notch found on the lateral portion of the lower eyelid is termed a ",Coloboma ,Chondroma,Cholesteatoma,Choristoma,Developmental ,,,,,
The midline structure at the junction of the posterior one-third and anterior two-thirds of the tongue is referred to as ,Foramen cecum,Circumvallate papillae,Foramen magnum,Foramen of Rosenmuller,Developmental ,,,,,
"A fissured or ""scrotal"" tongue is a component of which of the following diseases?",Melkersson-Rosenthal syndrome,Gorlin syndrome,Noonan Syndrome,Goldenhar Syndrome,Developmental ,Syndromes,,,,
"A marked accumulation of keratin on the filiform papillae on the dorsal surface of the tongue that imparts a hair-like appearance is referred to as ""hairy tongue"". Possible causes include all of the following, EXCEPT",Overuse of tea or coffee,Smoking,Poor oral hygiene,Radiation therapy,Developmental ,,,,,
A thrombus found in a vein which exhibits dystrophic calcification is termed a/an,Phlebolith,Sialolith,Antrolith,Tonsillolith,Developmental ,,,,,
Which of the following situations results in a varix?,Loss of connective tissue integrity supporting the vessels,Hypertension,Loss of muscle tissue tone surrounding the vessels,Cardiopulmonary disease,Developmental ,Soft Tissue,,,,
"Which of the following lesions is located in the upper lip, characterized by vertical and lateral pulsation, and is found in middle-aged or older patients?",Caliber persistent artery,Hemangioma,Artery distention,Aneurysm,Developmental ,,,,,
"Lateral soft palate fistulas can appear following infection, surgery, or as a result of  a developmental defect.",TRUE,FALSE,,,Developmental ,,,,,
What is the incidence of coronoid hyperplasia?,5:1 male: female,3:1 male: female,5:1 female: male,3:1 female: male,Developmental ,,,,,
The clinical appearance of condylar hyperplasia most closely resembles,Hemifacial hyperplasia,Acromegaly,Gigantism,Hemifacial atrophy,Developmental ,,,,,
The most severe form of condylar hypoplasia is ,Condylar aplasia,Goltz Syndrome,Goldenhar Syndrome,Gorlin Syndrome,Developmental ,,,,,
Bony exocytosis can be found on the facial aspects of the alveolus as well as the palatal aspect of the maxillary tuberosity. ,TRUE,FALSE,,,Developmental ,Bone ,,,,
"Although typically asymptomatic, some patients with a torus palatinus complain of ",Ulceration of the overlying mucosa,Rapid growth,Speech problems,Difficulty in swallowing,Developmental ,Bone ,,,,
Eagle syndrome can occur secondary to which of the following procedures?,Tonsillectomy,Salivary gland biopsy or excision,Elongation of the stylohyoid ligament,Elongation of the lesser cornu of the hyoid bone,Developmental ,,,,,
A defect in the process of embryologic union of the medial nasal process with the maxillary process can result in a/an,Cleft lip,Cleft palate,Median cleft of the upper lip,Oblique facial cleft,Developmental ,,,,,
Which of the following racial groups has the highest prevalence of orofacial clefts?,Native Americans,Caucasians,Blacks,Asians,Developmental ,,,,,
The majority of cleft lips are unilateral and occur on the left side.,TRUE,FALSE,,,Developmental ,,,,,
Sebaceous glands occurring on the oral mucosa are referred to as,Fordyce granules,Bohn nodules,Glands of Von Ebner ,Granular cell tumors,Developmental ,,,,,
"A bilateral, diffuse, gray-white opalescent appearance of buccal mucosa that does not rub off and is diminished when the cheek is stretched is termed ",Leukoedema,Leukoplakia,Hyperkeratosis,Lichen planus,Developmental ,,,,,
An anomaly of the tongue whereby a short and thick frenum is present that restricts tongue movement is referred to as ,Ankyloglossia,Microglossia,Glossodynia,Glossitis,Developmental ,,,,,
"If the thyroid gland does not descend to its normal position in the neck anterior to the trachea and larynx, it is referred to as __________ thyroid tissue. ",Ectopic,Undescended,Accessory,Peripheral,Developmental ,,,,,
"Facial paralysis, fissured tongue and labial swelling combine to form",Melkersson-Rosenthal syndrome,Cheilitis granulomatosa of Miescher,Noonan syndrome,Wegener’s granulomatosis,Developmental ,,,,,
A midline anterior neck swelling that will elevate when the patient protrudes their tongue describes a,Thyroglossal duct cyst,Dermoid cyst,Pilar cyst,Epidermoid cyst,Developmental ,,,,,
Ocular proptosis and a midface hypoplasia that creates a concave facial profile describes ,Crouzon syndrome,Pierre Robin Anomalad,Oculo-facial digital syndrome,Hemifacial microsomia,Developmental ,Syndromes,,,,
"The most common non-odontogenic cyst of the oral cavity found in the midline, anterior hard palate is the ",Nasopalatine duct cyst,Nasolabial cyst,Globulomaxillary cyst,Gingival cyst of the newborn ,Developmental ,,,,,
"A midline maxillary cyst with a variable epithelial lining and blood vessels, nerve bundles, and occasionally minor salivary glands in the cyst wall is a",Nasopalatine duct cyst,Nasolabial cyst,Staphne defect,Epidermoid cyst,Developmental ,,,,,
A midline anterior neck cyst that elevates vertically when the tongue is protruded is likely a,Thyroglossal duct cyst,Brachial cleft cyst,Dermoid cyst,Epidermoid cyst,Developmental ,,,,,
Which of the following racial groups has the highest prevalence of orofacial clefts?,Native Americans,Caucasians,Asians,African Americas,Developmental ,,,,,
The incisive canal cyst (nasopalatine duct cyst) typically appears as a well-circumscribed radiolucency occurring in what anatomic location? ,Maxillary incisor area ,Periapex of mandibular incisors ,"Inter radicular area, mandibular premolar-canine-lateral incisor area",Mandibular third molar region,Developmental ,,,,,
Which of the following racial groups has the highest prevalence of orofacial clefts?,Native Americans,Caucasians,Asians,African Americas,Developmental ,,,,,
"Which of the following lesions is located in the upper lip, characterized by vertical and lateral pulsation, and is found in middle-aged to older patients?",Caliber persistent artery   ,Arteriovenous Malformation,Varix, Hemangioma,Developmental ,,,,,
The most common non-odontogenic cyst of the oral cavity is the _________________ cyst. ,Nasopalatine Duct,Globulomaxillary,Periapical, Lateral Periodontal,Developmental ,,,,,
The most likely site for a caliber-persistent artery in the oral cavity is the ,Lip,Dorsal tongue,Buccal mucosa,Floor of Mouth,Developmental ,,,,,
All of the following statements about the Stafne defect are true EXCEPT ,"Anterior lesions, associated with the sublingual gland, do not occur","Most cases are reported in middle age and older adults, implying the lesion “develops with age” but then usually stabilizes with time ","A female predilection is observed, with 80% to 90% of all cases seen in females ","Presents, most commonly, as an asymptomatic radiolucency below the mandibular canal in the posterior mandible ",Developmental ,Salivary,,,,
All of the following statements about leukoedema are correct EXCEPT ,It does not wipe off nor does it disappear when stretched  ,The condition is benign and no treatment is indicated  ,Lesions are most commonly seen on the buccal mucosa  ,The difference in racial predilection may be explained by mucosal pigmentation that makes the edematous mucosal change more noticeable ,Developmental ,,,,,
Fordyce Granules are ectopic,sebaceous glands ,hair follicles on the tongue,thyroid gland remnants ,Fragments of dentin ,Developmental ,,,,,
All of the following are true about Nasopalatine Duct Cyst EXCEPT,It is smaller than 6mm ,"The cyst usually contains moderate size nerves, small arteries & veins due to its location",It is the most common non-odontogenic cyst of the oral cavity,It arises from remnants of nasopalatine duct,Developmental ,,,,,
Which of the following racial groups has the highest prevalence of orofacial clefts?,Native Americans,Caucasians,African Americans,Orientals,Developmental ,,,,,
"A syndrome composed of colobomas, hypoplastic zygomas, cleft palate, and abnormal ears is.",Treacher Collins (mandibulofacial dysostosis),Apert syndrome,Goldenhar syndrome,Gorlin Syndrome,Developmental ,,,,,
A defect in the process of embryologic union of the medial nasal process with the maxillary process can result in a(an),Cleft lip,Cleft palate,Median cleft lip, Oblique facial ,Developmental ,Dental Anomalies,,,,
Unilateral enlargement of the tonsils should be referred to rule out a more serious disease.,TRUE,FALSE,,,Epithelial pathology,,,,,
Which of the following is a characteristic of BOTH basal cell adenomas and canalicular adenomas?,Benign behavior,Very painful presentation,Male predilection,Perineural invasion,Epithelial Pathology,Salivary,,,,
The vast majority of oral malignancies are comprised of which of the following?,Squamous cell carcinoma,Lymphoma,Salivary gland adenocarcinoma,Sarcoma,Epithelial Pathology,,,,,
The synergistic effect of alcohol and tobacco use together has a  __________ greater risk of inducing oral cancer in users over non-users. ,15 times,5 times,10 times ,20 times ,Epithelial Pathology,,,,,
The most common site for intraoral carcinoma is the ,Tongue,Palate,Buccal mucosa,Floor of the mouth,Epithelial Pathology,,,,,
Which of the following intraoral cancer sites has the greatest propensity to develop form a preexisting leukoplakia or erythroplakia?,Floor of mouth,Palate,Tongue,Buccal mucosa,Epithelial Pathology,,,,,
A low-grade tumor is one in which the histologic appearance closely resembles it tissue and product of origin.,TRUE,FALSE,,,Epithelial Pathology,,,,,
An aggressive malignant lesion of the upper aerodigestive tract histologically showing glandular lobules most likely represents,Adenosquamous carcinoma,Squamous cell carcinoma,Basaloid squamous cell carcinoma,Verrucous carcinoma,Epithelial Pathology,,,,,
Epstein Barr virus has been implicated in the formation of ,Nasopharyngeal carcinoma,Basal cell carcinoma,Carcinoma of the maxillary sinus,Spindle cell carcinoma,Epithelial Pathology,,,,,
Collections of nevus cells that can be found within the surface epithelium and underlying connective tissue define a/an __________ nevus. ,Compound,Junctional ,Intradermal,Intramucosal,Epithelial Pathology,,,,,
